Month,SOI_index,Weather
01/08/1918,-0.852,El Nino
01/09/1918,-0.621,El Nino
01/10/1918,0.021,La Nada
01/11/1918,-1.004,El Nino
01/12/1918,-1.621,El Nino
01/01/1919,-1.194,El Nino
01/02/1919,-1.565,El Nino
01/03/1919,-0.372,La Nada
01/04/1919,-0.955,El Nino
01/05/1919,-1.463,El Nino
01/06/1919,-0.87,El Nino
01/07/1919,-0.9,El Nino
01/08/1919,-0.592,El Nino
01/09/1919,-1.255,El Nino
01/10/1919,-1.229,El Nino
01/11/1919,-1.116,El Nino
01/12/1919,0.176,La Nada
01/01/1920,-0.292,La Nada
01/02/1920,-0.626,El Nino
01/03/1920,-0.098,La Nada
01/04/1920,-0.398,La Nada
01/05/1920,0.399,La Nada
01/06/1920,0.922,La Nina
01/07/1920,0.442,La Nada
01/08/1920,0.468,La Nada
01/09/1920,-0.687,El Nino
01/10/1920,-0.194,La Nada
01/11/1920,0.991,La Nina
01/12/1920,1.091,La Nina
01/01/1921,0.585,La Nina
01/02/1921,1.072,La Nina
01/03/1921,-1.279,El Nino
01/04/1921,-0.011,La Nada
01/05/1921,4.073,La Nina
01/06/1921,0.29,La Nada
01/07/1921,-0.878,El Nino
01/08/1921,0.456,La Nada
01/09/1921,0.974,La Nina
01/10/1921,0.758,La Nina
01/11/1921,0.815,La Nina
01/12/1921,0.785,La Nina
01/01/1922,0.773,La Nina
01/02/1922,0.481,La Nina
01/03/1922,-0.688,El Nino
01/04/1922,-0.762,El Nino
01/05/1922,0.449,La Nada
01/06/1922,0.233,La Nada
01/07/1922,-0.276,La Nada
01/08/1922,0.463,La Nada
01/09/1922,0.551,La Nina
01/10/1922,0.758,La Nina
01/11/1922,1.207,La Nina
01/12/1922,0.561,La Nina
01/01/1923,0.336,La Nada
01/02/1923,0.844,La Nina
01/03/1923,0.809,La Nina
01/04/1923,-0.011,La Nada
01/05/1923,-0.174,La Nada
01/06/1923,-1.115,El Nino
01/07/1923,-2.14,El Nino
01/08/1923,-1.457,El Nino
01/09/1923,-0.721,El Nino
01/10/1923,-1.407,El Nino
01/11/1923,0.13,La Nada
01/12/1923,-0.681,El Nino
01/01/1924,0.006,La Nada
01/02/1924,0.111,La Nada
01/03/1924,-1.954,El Nino
01/04/1924,1.189,La Nina
01/05/1924,0.845,La Nina
01/06/1924,0.781,La Nina
01/07/1924,0.882,La Nina
01/08/1924,0.744,La Nina
01/09/1924,0.626,La Nina
01/10/1924,1.022,La Nina
01/11/1924,0.482,La Nina
01/12/1924,0.544,La Nina
01/01/1925,1.224,La Nina
01/02/1925,1.522,La Nina
01/03/1925,1.484,La Nina
01/04/1925,-0.297,La Nada
01/05/1925,-0.819,El Nino
01/06/1925,-1.313,El Nino
01/07/1925,-1.241,El Nino
01/08/1925,-0.657,El Nino
01/09/1925,-1.496,El Nino
01/10/1925,-0.968,El Nino
01/11/1925,-0.892,El Nino
01/12/1925,-0.619,El Nino
01/01/1926,-1.556,El Nino
01/02/1926,-1.646,El Nino
01/03/1926,-0.752,El Nino
01/04/1926,-0.284,La Nada
01/05/1926,-1.047,El Nino
01/06/1926,-0.086,La Nada
01/07/1926,-0.92,El Nino
01/08/1926,0.117,La Nada
01/09/1926,0.244,La Nada
01/10/1926,0.071,La Nada
01/11/1926,0.587,La Nina
01/12/1926,0.513,La Nina
01/01/1927,0.006,La Nada
01/02/1927,1.841,La Nina
01/03/1927,0.746,La Nina
01/04/1927,0.624,La Nina
01/05/1927,0.913,La Nina
01/06/1927,0.167,La Nada
01/07/1927,-0.749,El Nino
01/08/1927,-0.073,La Nada
01/09/1927,-0.55,El Nino
01/10/1927,-0.914,El Nino
01/11/1927,0.747,La Nina
01/12/1927,-1.219,El Nino
01/01/1928,0.955,La Nina
01/02/1928,1.376,La Nina
01/03/1928,1.442,La Nina
01/04/1928,-0.085,La Nada
01/05/1928,-1.151,El Nino
01/06/1928,-0.02,La Nada
01/07/1928,0.795,La Nina
01/08/1928,0.744,La Nina
01/09/1928,0.766,La Nina
01/10/1928,0.212,La Nada
01/11/1928,1.204,La Nina
01/12/1928,1.738,La Nina
01/01/1929,1.686,La Nina
01/02/1929,0.407,La Nada
01/03/1929,0.577,La Nina
01/04/1929,-1.2,El Nino
01/05/1929,0.064,La Nada
01/06/1929,0.207,La Nada
01/07/1929,-0.17,La Nada
01/08/1929,-0.073,La Nada
01/09/1929,0.803,La Nina
01/10/1929,0.952,La Nina
01/11/1929,0.531,La Nina
01/12/1929,1.306,La Nina
01/01/1930,0.684,La Nina
01/02/1930,0.039,La Nada
01/03/1930,-0.33,La Nada
01/04/1930,0.472,La Nina
01/05/1930,-0.839,El Nino
01/06/1930,-0.399,La Nada
01/07/1930,-0.385,La Nada
01/08/1930,-0.719,El Nino
01/09/1930,0.461,La Nada
01/10/1930,0.304,La Nada
01/11/1930,-0.271,La Nada
01/12/1930,0.632,La Nina
01/01/1931,-1.606,El Nino
01/02/1931,0.445,La Nada
01/03/1931,1.104,La Nina
01/04/1931,1.659,La Nina
01/05/1931,2.232,La Nina
01/06/1931,0.979,La Nina
01/07/1931,-0.504,El Nino
01/08/1931,0.353,La Nada
01/09/1931,-1.002,El Nino
01/10/1931,-0.368,La Nada
01/11/1931,0.806,La Nina
01/12/1931,0.207,La Nada
01/01/1932,-0.359,La Nada
01/02/1932,-0.723,El Nino
01/03/1932,-2.755,El Nino
01/04/1932,0.087,La Nada
01/05/1932,-0.263,La Nada
01/06/1932,-1.522,El Nino
01/07/1932,-0.9,El Nino
01/08/1932,-0.863,El Nino
01/09/1932,-0.687,El Nino
01/10/1932,-0.612,El Nino
01/11/1932,0.25,La Nada
01/12/1932,-1.219,El Nino
01/01/1933,0.339,La Nada
01/02/1933,-0.347,La Nada
01/03/1933,0.472,La Nina
01/04/1933,0.738,La Nina
01/05/1933,-0.679,El Nino
01/06/1933,0.376,La Nada
01/07/1933,-0.234,La Nada
01/08/1933,0.168,La Nada
01/09/1933,0.174,La Nada
01/10/1933,0.53,La Nina
01/11/1933,0.811,La Nina
01/12/1933,0.618,La Nina
01/01/1934,-0.061,La Nada
01/02/1934,-0.117,La Nada
01/03/1934,0.641,La Nina
01/04/1934,-0.756,El Nino
01/05/1934,1.121,La Nina
01/06/1934,0.299,La Nada
01/07/1934,-2.444,El Nino
01/08/1934,-0.644,El Nino
01/09/1934,0.381,La Nada
01/10/1934,1.213,La Nina
01/11/1934,-0.38,La Nada
01/12/1934,0.641,La Nina
01/01/1935,-0.558,El Nino
01/02/1935,1.205,La Nina
01/03/1935,0.366,La Nada
01/04/1935,-0.464,La Nada
